A|MAN GLB US|CTM|Treasury|06/17/2020|USD||||30389221.87||||||||||||||||JUN-2020|00750|305110|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020||||||20200617213650379407|||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD||||557.90||||||||||||||||JUN-2020|00444|111120|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Southern Cal Ford Fact Fund|20200617213650379408|||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD||||1974.30||||||||||||||||JUN-2020|00444|111120|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Chicago Ford Fact Fund|20200617213650379409|||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||15904.00|||||||||||||||||JUN-2020|00444|111120|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Mississippi Ford Fact Fund|20200617213650379410|||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||37570.00|||||||||||||||||JUN-2020|00444|111120|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Detroit Ford Fact Fund|20200617213650379411|||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||48350.00|||||||||||||||||JUN-2020|00444|111120|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Tampa Ford Fact Fund|20200617213650379412|||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||50210.70|||||||||||||||||JUN-2020|00444|111120|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Pennsylvania Ford Fact Fund|20200617213650379413|||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||64005.24|||||||||||||||||JUN-2020|00444|111120|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Kansas City Ford Fact Fund|20200617213650379414|||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||79399.90|||||||||||||||||JUN-2020|00444|111120|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Fort Lauderdale Ford Fact Fund|20200617213650379415|||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||101992.53|||||||||||||||||JUN-2020|00444|111120|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Minneapolis Ford Fact Fund|20200617213650379416||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||104147.10|||||||||||||||||JUN-2020|00444|111120|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||New Jersey Ford Fact Fund|20200617213650379417||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||128625.20|||||||||||||||||JUN-2020|00444|111120|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Dallas-Fort Worth Ford Fact Fund|20200617213650379418||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||243261.30|||||||||||||||||JUN-2020|00444|111120|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Minneapolis Ford Fact Fund|20200617213650379419||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||400491.41|||||||||||||||||JUN-2020|00444|111120|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||New York Ford Fact Fund|20200617213650379420||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD||||851160.29||||||||||||||||JUN-2020|00444|111007|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Fulton G2G  Depository|20200617213650379421||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD||||37818.20||||||||||||||||JUN-2020|00444|111004|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||G2G Merchant E Check Dep|20200617213650379422||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD||||67689.00||||||||||||||||JUN-2020|12000|122650|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Dealer.com Sweeps|20200617213650379423||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD||||101145.00||||||||||||||||JUN-2020|00638|111033|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||OVE Depository|20200617213650379424||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD||||441236.45||||||||||||||||JUN-2020|12000|122650|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Dealer.com Sweeps|20200617213650379425||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD||||7964119.00||||||||||||||||JUN-2020|00444|111006|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||G2G Electronic Disbursement|20200617213650379426||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD||||9570510.59||||||||||||||||JUN-2020|00444|111002|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||G2G Cash & Check Dep|20200617213650379427||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD||||36596718.65||||||||||||||||JUN-2020|00444|111047|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Depository|20200617213650379428||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD||||57034505.76||||||||||||||||JUN-2020|00444|111003|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||G2G ACH Dep|20200617213650379429||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||35101.04|||||||||||||||||JUN-2020|00444|125810|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||DMV and Misc Debits|20200617213650379430||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||91877.57|||||||||||||||||JUN-2020|00251|111036|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||DSC Operating|20200617213650379431||||||||||||||||||
